plu;Q (m3s);ev (mm/h);Q(mm/h)
0;2.05;0.09;0.018
0.2;2.04;0.072;0.018
0;2.03;0.042;0.018
0;2.03;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
6.4;8.64;0;0.078
15.8;25.65;0;0.2304
0.2;6.37;0;0.0576
0;3.58;0;0.0324
0;2.77;0;0.0252
0;2.44;0;0.0216
0;2.28;0;0.0204
0;2.19;0;0.0192
0;2.14;0;0.0192
0;2.1;0.036;0.0192
0;2.08;0.066;0.0192
6.2;8.52;0.084;0.0768
4.6;9.35;0.102;0.084
0.4;4.64;0.12;0.042
1.2;4.21;0.126;0.0384
0;3;0.126;0.0276
0;2.54;0.12;0.0228
0;2.33;0.102;0.0204
0;2.22;0.084;0.0204
0;2.15;0.066;0.0192
0;2.11;0.036;0.0192
0;2.09;0;0.0192
0;2.07;0;0.0192
0;2.05;0;0.018
0;2.04;0;0.018
0;2.04;0;0.018
0;2.03;0;0.018
0;2.03;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.02;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0.066;0.018
0;2.01;0.114;0.018
0;2.01;0.144;0.018
0;2.01;0.18;0.018
0;2.01;0.204;0.018
0;2.01;0.216;0.018
0;2.01;0.216;0.018
0;2.01;0.204;0.018
0;2.01;0.18;0.018
0;2;0.144;0.018
0;2;0.114;0.018
0;2;0.066;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.096;0.018
0;2;0.174;0.018
0;2;0.222;0.018
0;2;0.276;0.018
0;2;0.312;0.018
0;2;0.33;0.018
0;2;0.33;0.018
0;2;0.312;0.018
0;2;0.276;0.018
0;2;0.222;0.018
0;2;0.174;0.018
0;2;0.096;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.066;0.018
0;2;0.114;0.018
0;2;0.144;0.018
0;2;0.174;0.018
0;2;0.198;0.018
0;2;0.21;0.018
0;2;0.21;0.018
0;2;0.198;0.018
3.6;4.93;0.174;0.0444
9;14.36;0.144;0.1296
0;5.08;0.114;0.0456
0.2;3.25;0.066;0.0288
0;2.64;0;0.024
0;2.38;0;0.0216
13.8;20.3;0;0.1824
5.4;12.32;0;0.1104
1.8;6.68;0;0.06
0.2;3.67;0;0.0336
0;2.8;0;0.0252
0;2.46;0;0.0216
0;2.29;0;0.0204
0;2.19;0;0.0192
0;2.14;0;0.0192
0;2.1;0;0.0192
0;2.08;0.054;0.0192
0;2.06;0.096;0.018
0;2.05;0.126;0.018
0;2.04;0.15;0.018
0;2.03;0.174;0.018
0;2.03;0.18;0.018
0;2.02;0.18;0.018
0;2.02;0.174;0.018
0;2.02;0.15;0.018
0;2.02;0.126;0.018
0;2.01;0.096;0.018
0;2.01;0.054;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2.01;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0.084;0.018
0;2;0.15;0.018
0;2;0.192;0.018
0;2;0.24;0.018
0;2;0.27;0.018
0;2;0.288;0.018
0;2;0.288;0.018
0;2;0.27;0.018
0;2;0.24;0.018
0;2;0.192;0.018
0;2;0.15;0.018
0;2;0.084;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
0;2;0;0.018
1;2.45;0;0.0216
0.6;2.68;0;0.024
0.2;2.4;0;0.0216
0.6;2.64;0;0.024
0.6;2.8;0;0.0252
1.2;3.4;0;0.0312
0;2.71;0;0.024
0;2.41;0;0.0216
0.6;2.65;0.072;0.024
0.6;2.8;0.132;0.0252
0.2;2.46;0.168;0.0216
0;2.29;0.204;0.0204
0;2.2;0.228;0.0204
0;2.14;0.246;0.0192
0;2.1;0.246;0.0192
0.2;2.08;0.228;0.0192
0.2;2.06;0.204;0.018
0.6;2.33;0.168;0.0204
0.6;2.59;0.132;0.0228
3.8;6.04;0.072;0.054
1;4.48;0;0.0408
0;3.08;0;0.0276
1.6;3.93;0;0.0348
4.8;8.12;0;0.0732
1.4;5.42;0;0.0492
1;4.28;0;0.0384
